id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"SLA xử lý ticket P1 là:
- Phản hồi ban đầu: 15 phút [1]
- Xử lý và khắc phục: 4 giờ [1]",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"Answer matches retrieved context [1] exactly for P1 first response (15 phút) and resolution (4 giờ), with no unsupported claims.",5,"Trả lời trực tiếp đúng câu hỏi về SLA ticket P1, nêu rõ thời gian phản hồi ban đầu và thời gian xử lý/khắc phục.",5,Retrieved: 1/1 expected sources,5,"Model answer includes both required parts from the reference: initial response time (15 phút) and resolution time (4 giờ), so it is fully complete.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày kể từ thời điểm xác nhận đơn hàng [2].  
Theo một điều khoản khác, thời hạn được nêu là 7 ngày làm việc [1].",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Answer is fully supported by the retrieved context: [2] states 7 days from order confirmation and [1] states 7 working days. No unsupported claims added.,4,"Câu trả lời trực tiếp nêu thời hạn hoàn tiền là 7 ngày và có dẫn nguồn, nhưng hơi mâu thuẫn khi đưa ra cả '7 ngày' và '7 ngày làm việc', làm giảm độ rõ ràng/chính xác.",5,Retrieved: 1/1 expected sources,4,"Nêu đúng mốc 7 ngày và có đề cập 7 ngày làm việc, nhưng câu trả lời không thống nhất và thêm thông tin gây mơ hồ so với đáp án chuẩn.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,Level 3 cần phê duyệt bởi **Line Manager + IT Admin + IT Security** [1],"Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer is directly supported by the retrieved context: Section 2 indicates Level 3 requires approval by Line Manager, IT Admin, and IT Security. No unsupported details are added.",5,"Câu trả lời trực tiếp nêu rõ các bên phải phê duyệt để cấp quyền Level 3, khớp với câu hỏi và không lan man.",5,Retrieved: 1/1 expected sources,5,"Model answer includes all required approvers for Level 3: Line Manager, IT Admin, and IT Security.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không. Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"Answer is directly supported by context [1], which states digital products are non-refundable exceptions.",5,"Trả lời trực tiếp và đúng trọng tâm câu hỏi về hoàn tiền cho sản phẩm kỹ thuật số, nêu rõ là không được hoàn tiền và đưa ví dụ phù hợp.",5,Retrieved: 1/1 expected sources,5,Model answer fully matches the reference: it clearly states that digital products are not refundable and includes the same exception category examples.,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. [1],Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer exactly matches retrieved context [1] and adds no unsupported information.,5,Trả lời trực tiếp và đầy đủ đúng vào câu hỏi về số lần đăng nhập sai dẫn đến khóa tài khoản; nêu rõ là 5 lần liên tiếp.,5,Retrieved: 1/1 expected sources,5,Model answer fully matches the expected answer; it includes the exact threshold of 5 consecutive failed login attempts.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố P1, escalation diễn ra theo 2 trường hợp trong context:

- Với ticket P1: tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút [3].
- Nếu cần thay đổi quyền hệ thống để xử lý khẩn cấp P1: On-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi được Tech Lead phê duyệt bằng lời; sau 24 giờ phải có ticket chính thức hoặc quyền bị thu hồi tự động; mọi quyền tạm thời phải được ghi log vào Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Answer is fully supported by the retrieved context: P1 auto-escalation after 10 minutes is in [3], and temporary access escalation rules for urgent P1 incidents are in [1]. No unsupported claims detected.",5,Câu trả lời bám sát câu hỏi về escalation trong sự cố P1 và nêu rõ cơ chế leo thang chính (tự động escalate sau 10 phút không phản hồi). Phần bổ sung về cấp quyền khẩn cấp vẫn liên quan đến xử lý P1 và không làm sai lệch nội dung.,5,Retrieved: 1/1 expected sources,5,Model answer includes the expected escalation rule for P1 exactly; extra context does not reduce completeness.,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Không đủ dữ liệu,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,The answer makes no unsupported claims and is consistent with the retrieved context; it simply states insufficient data.,2,"Câu trả lời quá chung chung và không trả lời trực tiếp câu hỏi về tài liệu 'Approval Matrix'. Chỉ phù hợp nếu thực sự thiếu ngữ cảnh, nhưng mức độ liên quan thấp.",5,Retrieved: 1/1 expected sources,1,Model answer is incomplete and does not provide the document name or its new title/file as expected.,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau thời gian thử việc được làm remote tối đa 2 ngày/tuần. [1],"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Answer matches context [1] exactly: employees after probation may work remotely up to 2 days/week.,5,"Trả lời trực tiếp và đúng trọng tâm câu hỏi, nêu rõ số ngày remote tối đa mỗi tuần là 2 ngày.",5,Retrieved: 1/1 expected sources,4,"Nêu đúng mức tối đa 2 ngày/tuần và điều kiện sau thử việc, nhưng thiếu chi tiết cần được Team Lead phê duyệt.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer states insufficient data, which is fully supported by the retrieved context since no specific question content is provided to answer beyond assessing available information.",1,"Câu trả lời không giải thích ERR-403-AUTH là lỗi gì và cũng không đưa ra cách xử lý, nên không đáp ứng câu hỏi.",,No expected sources,2,Câu trả lời nêu thiếu dữ liệu nhưng bỏ sót nội dung quan trọng trong đáp án tham chiếu: khả năng liên quan đến xác thực và khuyến nghị liên hệ IT Helpdesk.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,The answer makes no unsupported claims and is consistent with the retrieved context; it simply states insufficient data.,2,Câu trả lời không giải đáp trực tiếp câu hỏi về quy trình hoàn tiền khẩn cấp cho khách VIP; chỉ nói thiếu dữ liệu nên mức độ liên quan và hữu ích rất thấp.,5,Retrieved: 1/1 expected sources,2,"Câu trả lời nêu thiếu dữ liệu thay vì cung cấp nội dung chính: không có quy trình VIP riêng và áp dụng quy trình chuẩn 3-5 ngày làm việc. Có thể tránh bịa đặt, nhưng rất thiếu thông tin so với đáp án mong đợi.",baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ; phản hồi ban đầu là 15 phút. [1],Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Answer matches retrieved context [1] exactly: P1 first response is 15 minutes and resolution is 4 hours.,5,Trả lời trực tiếp đúng trọng tâm câu hỏi về SLA ticket P1 và cung cấp thời gian cụ thể; có thêm thời gian phản hồi ban đầu nhưng vẫn phù hợp.,5,Retrieved: 1/1 expected sources,5,"Model answer includes both required parts from the reference: initial response time (15 phút) and resolution time (4 giờ), with no missing information.",variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày kể từ thời điểm xác nhận đơn hàng [3].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,Câu trả lời khớp trực tiếp với ngữ cảnh [3] và không thêm thông tin ngoài tài liệu.,5,"Câu trả lời trực tiếp nêu rõ thời hạn hoàn tiền là 7 ngày kể từ khi xác nhận đơn hàng, phù hợp với câu hỏi.",5,Retrieved: 1/1 expected sources,5,Câu trả lời nêu đúng mốc thời gian 7 ngày kể từ khi xác nhận đơn hàng; chỉ thiếu từ 'làm việc' nhưng nhìn chung vẫn đầy đủ về ý chính.,variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt bởi **Line Manager + IT Admin + IT Security** [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",4,"Answer is mostly grounded: context says Level 3 requires Line Manager + IT Admin, and Section 3 says IT Security reviews Level 3 and 4. Slight synthesis across sections, so not stated exactly in one place.",5,Câu trả lời trực tiếp nêu rõ các bên phải phê duyệt để cấp quyền Level 3 và khớp với câu hỏi.,5,Retrieved: 1/1 expected sources,5,"Model answer includes all required approvers for Level 3: Line Manager, IT Admin, and IT Security.",variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không. Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer is directly supported by context [1], which explicitly states digital products are non-refundable exceptions.",5,"Câu trả lời trực tiếp và đúng trọng tâm câu hỏi, nêu rõ sản phẩm kỹ thuật số không được hoàn tiền và đưa ví dụ phù hợp.",5,Retrieved: 1/1 expected sources,5,"Model answer fully matches the reference: it clearly states that digital products are not refundable and includes the same exception details (license key, subscription).",variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. [1],Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Answer matches retrieved context [1] exactly and adds no unsupported information.,5,"Câu trả lời trực tiếp nêu rõ số lần đăng nhập sai dẫn đến khóa tài khoản là 5 lần, phù hợp hoàn toàn với câu hỏi.",5,Retrieved: 1/1 expected sources,5,Model answer fully matches the expected answer; it includes the exact lockout condition. The citation marker does not reduce completeness.,variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Trong sự cố/ticket P1, escalation diễn ra theo 2 trường hợp trong context:

- Tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút [2].
- Nếu P1 cần thay đổi quyền hệ thống khẩn cấp để xử lý incident, On-call IT Admin có thể cấp quyền tạm thời tối đa 24 giờ sau khi được Tech Lead phê duyệt bằng lời; sau 24 giờ phải có ticket chính thức hoặc quyền bị thu hồi tự động, và mọi quyền tạm thời phải được ghi log vào Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Answer is fully supported by the retrieved context: auto-escalation after 10 minutes for P1 is in [2], and emergency access escalation with temporary rights up to 24 hours, verbal Tech Lead approval, formal ticket/auto-revoke after 24 hours...",4,"Câu trả lời khá trực tiếp và nêu được cơ chế escalation cho P1, đặc biệt là tự động escalate sau 10 phút. Tuy nhiên, phần về cấp quyền tạm thời nghiêng nhiều về quy trình xử lý khẩn cấp hơn là escalation thuần túy, nên có chút lan man.",5,Retrieved: 1/1 expected sources,5,Model answer includes the expected escalation rule exactly; extra details are additional but do not reduce completeness.,variant_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Không đủ dữ liệu,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"Answer states insufficient data, which is consistent with the retrieved context and does not add unsupported claims.",2,"Câu trả lời quá chung chung và không trả lời trực tiếp câu hỏi về tài liệu 'Approval Matrix'. Có thể đúng nếu thiếu ngữ cảnh, nhưng mức độ liên quan thấp.",5,Retrieved: 1/1 expected sources,1,Model answer provides no relevant information and misses the document name and its new title entirely.,variant_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Tối đa 2 ngày/tuần [1],"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer exactly matches the retrieved context in [1]: employees may work remotely up to 2 days per week.,5,Trả lời trực tiếp và đúng trọng tâm câu hỏi về số ngày remote tối đa mỗi tuần: 2 ngày/tuần.,5,Retrieved: 1/1 expected sources,4,Nêu đúng mức tối đa 2 ngày/tuần nhưng thiếu điều kiện áp dụng sau probation period và cần Team Lead phê duyệt.,variant_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",4,"Answer is consistent with the retrieved context and does not add unsupported claims, but it is overly vague since the context contains relevant information.",1,"Câu trả lời không giải thích ERR-403-AUTH là lỗi gì và cũng không đưa ra cách xử lý, nên không đáp ứng trực tiếp câu hỏi.",,No expected sources,2,Câu trả lời nêu thiếu dữ liệu nhưng bỏ sót nội dung quan trọng trong đáp án tham chiếu: khả năng liên quan đến xác thực và khuyến nghị liên hệ IT Helpdesk.,variant_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"Answer does not add unsupported claims and is consistent with the retrieved context, which contains no direct information to answer the implied question beyond refund policy details.",1,"Câu trả lời không giải đáp câu hỏi về quy trình hoàn tiền khẩn cấp cho khách VIP và chỉ nói thiếu dữ liệu, nên không liên quan trực tiếp.",5,Retrieved: 1/1 expected sources,1,Model answer is incomplete; it does not mention that there is no special VIP process and omits the standard 3-5 business day timeline.,variant_hybrid
